Message,spam
125 lira,0
Baskanin aksam toplantısi fenaymis :),0
Bilal yalçnlara ne zaman gidiyoruz?,0
"BiP ile mesajlarimi aninda, daha eglenceli gonderiyorum! Sen de hemen kullan! http://mobiltr.co/BiP",1
DIGITURKTEN FIRSAT! SiZE OZEL YIL SONUNA KADAR 200 UZERi ULUSAL HD YAYIN BELGESEL+SPOR+DiZi+YETiSKiN iLK AY LiG TV AYDA SADECE 10 TL.HEMEN ARAYIN 02122129070,1
İyi ya dokuz eylül iyidir arş.gör falan kovala ;),0
İyiyim teşekkürler oturuyoruz nazarda arkadaşla  sen nasılsın :)  geçen gördüm seni de gelemedim yanınıza ,0
Kapatamıyorun ayarlara girmem lazım :) ,0
Menüye girsem görünür mü acaba ?? ,0
Önemli değil hocam iyi akşamlar ;) ,0
Senin nasil arastirma görevlisi olacak gibi mi,0
Tamam :) ,0
Tamam abi iyi yolculuklar. Ben hastanede yim boşa çıkarsan görüşüruz abi,0
Tamam getircektim attım çantaya ;),0
Tamam hocam ;) ,0
Tamam uyar yarn gidelim;),0
tamamdir.,0
"%100 PAMUK PENYE,PERCALE VE SATEN CARSAF VE CARSAF TAKIMLARINDA %50+%50 INDIRIM! 02 AGUSTOS SON!(SMS IPTAL:5830'A MC)MERSIS:0273065777400019 madamecoco.com",1
"%100 PAMUK SATEN CARSAFLI NEVRESIM TAKIMLARI CIFT K 99.99TL,TEK K 79.99TL FIRSATIYLA MAGAZALAR VE madamecoco.com'DA!IPTAL:5830A MC YAZ/MERSIS0273065777400019",1
%100 Pamuklu Erkek Camasirlarinda %40 Indirim Kampanyamiz Bugun Baslamistir.Keyifli Alisverisler Dileriz. (SMS almamak icin RET yaz 3347'ye gonderiniz),1
"%20 INDIRIMLI Yilbasi Menusu Mavi'de! 1ALT+1UST+1AKSESUAR veya 1ALT+2UST alin, %20 indirim kazanin! Mavi magazalari & mavi.com.  SMS almak istemiyorsaniz MAVI yazip 3525'e gonderin. Mersis:13327743669639998",1
"%5 indirim firsatiyla LG G3 32GB telefon 1.167,55 TL. http://goo.gl/rgRBKs, LG G4 32GB telefon sadece 1.547,55 TL. http://goo.gl/i4p3vY Bugune ozel, sinirli stoklar. Kacirmayin. SMS listesinden cikmak icin GITTIGIDIYOR RET, iletisim icin GG ILETISIM yazip",1
%50+%50 INDIRIM! 11 EKIM'E KADAR YEPYENI DESENLERIYLE TUM BANYO VE MUTFAK HALILARINDA!SMS IPTAL ICIN 5830 MC YAZ / MERSIS:0273065777400019 madamecoco.com,1
%50+%50 INDIRIM! BU HAFTA TUM BANYO VE MUTFAK HALILARINDA. DESENLI 3'LU BANYO SABUNLUK SETLERI 14.9 TL. SMS IPTAL:5830 MC.MERSIS0273065777400019 madamecoco.com,1
"%50+%50 INDIRIM! BU HAFTA TUM KISISEL BAKIM URUNLERI,MAKYAJ CANTALARI VE HAVLULARDA. MAGAZALARDA VE madamecoco.com 'DA!SMS IPTAL:5830 MC.MERSIS0273065777400019",1
"%50+%50 INDIRIM! TUM CARSAF, NEVRESIM VE TAKIMLARINDA (BASKILI, JAKARLI, NAKISLI)! 12 TEMMUZ'A KADAR TUM MAGAZALAR VE madamecoco.com'DA! (SMS IPTAL:5830'A MC)",1
%50+%50 INDIRIM! YENI SEZON DEKORATIF TEPSILERDE VE RENGARENK CICEKLERDE BU HAFTAYA OZEL INDIRIMI KACIRMAYIN! (SMS IPTAL:5830'A MC) madamecoco.com,1
"%50+%50 INDIRIM!FINCAN TAKIMLARI, DEKORATIF TEPSILER VE RENGARENK CICEKLERDE!27 EYLUL SON KACIRMAYIN! SMS IPTAL:5830'A MC.MERSIS:0273065777400019 madamecoco.com",1
"%50+%50 INDIRIM!YENI KOLEKSIYON SAAT, TABLO, AYNA VE CERCEVELER BU HAFTA MAGAZALAR VE madamecoco.com 'DA!SMS IPTAL:5830 MC.MERSIS0273065777400019",1
%50'ye varan büyük kis indirimi adL kis koleksiyonunda basladi! Indirimli alisverisin keyfi icin magazalarimiza davetlisiniz!SMS Red:4443235 MK:0008009314200018,1
"%50'ye varan Büyük Nike indirimi Basladi | Ücretsiz Kargo, 6 Taksit http://www.korayspor.com/marka/nike?sd=2",1
